EmployeeNumber,UserName,Email Address,GivenName,Surname,Name,DistinguishedName ,Clearance ,Company,Nationality,SCI,ACTIVE,NTK,MemberOf,Department,Title
100007,bjones,bjones@zt.lab.local,Bob,Jones,Bob Jones,"CN =Bob Jones,OU=DIA Virtru,DC=zt,DC=lab,DC=local",TS,TopGear LLC,AUS,SCI1,N,OPS:INT,"CN=App1,CN=DIA-Users,CN=Domain Admins,CN=Users",Security and Operations,Lead Technician
100008,jvirtru,jvirtru@zt.lab.local,Jane,Virtru,Jane Virtru,"CN =Jane Virtru,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",TS,TopGear LLC,USA,SCI1,Y,OPS,"CN=App1,CN=DIA-Users,CN=Domain Admins,CN=Users",Security and Operations,Principal
100009,jdoe,jdoe@zt.lab.local,John,Doe,John Doe,"CN =John Doe,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",S,DIA,USA,SCI2,Y,OPS:INT,"CN=App2,CN=DIA-User",Security and Operations,Security Advisor
100006,jmay,jmay@zt.lab.local,James,May,James May,"CN =James May,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",TS,TopGear LLC,USA,SCI3,Y,OPS,"CN=RMT,",Security and Operations,Security Analyst
100005,lmiles,lmiles@zt.lab.local,Lisa,Miles,Lisa Miles,"CN =Lisa Miles,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",U,TopGear LLC,AUS,none,Y,INT,"CN=RMT,CN=DIA-Users,CN=DIA-REMOTE,CN=DOMAIN Admins,CN=Users",Security and Operations,Lead Technologist
100004,mmorris,mmorris@zt.lab.local,Morris,Mercury,Morris Mercury,"CN =Morris Mercury,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",TS,TopGear LLC,USA,SCI3,Y,OPS,"CN=App1,CN=DIA-Users",Security and Operations,Lead Technologist
100010,rlee,rlee@zt.lab.local,Rob,Lee,Rob Lee,"CN =Rob Lee,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",C,TopGear LLC,USA,SCI4,Y,OPS,"CN=RMT,CN=DIA-HQ",Security and Operations,Security Analyst
100011,jdoe,johndoe@xml.mil,John,Doe,John Doe,"CN=John Doe,OU=XML Virtru ,DC=zt,DC=lab,DC=local",S,XYZ,AUS,SCI1,Y,NTK2,"CN=RMT,CN=XML",Husbandry,Field Worker
100012,jdoe2,johndoe@asd.net,John,Doe,John Doe,"CN=John Doe,OU=ASD Virtru ,DC=zt,DC=lab,DC=local",S,ASD,USA,SCI2,Y,NTK3,"CN=RMT,CN=ASD",Farmer,Animal Caretaker
100013,jdoe3,JaneDoe2@asd.net,Jane,Doe,Jane Doe,"CN=Jane Doe,OU=ASD Virtru ,DC=zt,DC=lab,DC=local",S,ASD,USA,SCI2,Y,NTK1,"CN=RMT,CN=ASD",Agricultural worker,Fruit Picker
100014,ffarmer,freddyFarmer@moo.org,Freddy,Farmer,Freddy Farmer,"CN=Freddy Farmer,OU=MOO Virtru ,DC=zt,DC=lab,DC=local",TS,MOO,USA,SCI3,Y,NTK7,"CM=RMT,CN=MOO",Dairy Farm,Milker
100015,Mmilkmaid,millieMilkmaid@moo.org,Millie,Milkmaid,Millie Milkmaid,"CN=Millie Milkmaid,OU=MOO  Virtru ,DC=zt,DC=lab,DC=local",TS,MOO,USA,"SCI1,SCI3",Y,NTK1:NTK2:NTK3:NTK4:NTK5:NTK6:NTK7,"CN=RMT,CN=MOO",Dairy Farm,Range Manager
100016,Ddoolittle,DocDoolittle@zoo.com,Doc,Doolittle,Doc Doolittle,"CN=Doc Doolittle, OU=Zoo  Virtru ,DC=zt,DC=lab,DC=local",C,Zoo,USA,SCI4,Y,NTK9,CN=ZOO,Zoo,Curator
100017,Bkeeper,bobKeeper@zoo.com,Bob,Keeper,Bob Keeper,"CN=Bob Keeper, OU=Zoo virtu,DC=Zt,DC=lab,DC=local",C,Zoo,USA,SCI4,Y,NTK12,CN=ZOO,Zoo Mangement,Procurer
100018,scpa,SallyCPA@dia.gov,Sally,CPA,Sally CPA,"CN =Sally CPA,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",U,DIA,USA,none,Y,NTK12,"CN=RMT,CN=DIA-users",Accounts,Accountant
100019,hcfo,HarveyCFO@dia.gov,Harvey,CFO,Harvey CFO,"CN =Harvey CFO,OU=DIA Virtru ,DC=zt,DC=lab,DC=local",U,DIA,USA,none,N,NTK11,"CN=RMT,CN=DIA-HQ",Billing,Financial Officer
100020,Mmilkmaster,miltonMilkmaster@moo.org,Milton,Milkmaster,Milton Milkmaster,"CN=Milton Milkmaster,OU=MOO  Virtru ,DC=zt,DC=lab,DC=local",TS,MOO,USA,"SCI1,SCI3",N,NTK1:NTK2:NTK3:NTK4:NTK5:NTK6:NTK7,"CN=RMT,CN=MOO",Dairy Farm,Range Managers
